Gene	Gene score (% variance explained by pseudotime)				
Zm00001d043080	61.8				
MSTRG.19100	61.7				
Zm00001d022629	61.7				
Zm00001d041932	61.6				
Zm00001d048256	61.6				
Zm00001d052718	61.5				
Zm00001d049351	61.4				
Zm00001d009868	61.4				
Zm00001d008249	61.4				
Zm00001d047797	61.3				
Zm00001d011135	61.2				
Zm00001d041246	61.2				
Zm00001d004821	61.1				
Zm00001d029124	61.1				
Zm00001d038570	61				
Zm00001d022134	61				
MSTRG.10241	60.9				
Zm00001d008214	60.9				
Zm00001d028554	60.9				
Zm00001d007210	60.8				
Zm00001d023741	60.7				
MSTRG.9154	60.6				
MSTRG.7081	60.6				
Zm00001d015378	60.5				
MSTRG.3809	60.5				
Zm00001d051245	60.5				
Zm00001d002275	60.4				
Zm00001d034991	60.4				
MSTRG.19090	60.3				
Zm00001d034855	60.3				
Zm00001d036169	60.2				
Zm00001d014082	60.1				
Zm00001d006166	60				
Zm00001d037122	60				
Zm00001d028005	60				
Zm00001d012590	60				
Zm00001d022144	59.8				
MSTRG.13004	59.6				
Zm00001d024787	59.5				
Zm00001d037270	59.5				
Zm00001d012501	59.3				
Zm00001d029144	59.1				
Zm00001d023830	59				
Zm00001d010982	58.9				
MSTRG.17970	58.9				
Zm00001d048424	58.8				
Zm00001d047941	58.8				
Zm00001d037929	58.7				
Zm00001d007755	58.6				
Zm00001d044586	58.6				
Zm00001d012103	58.6				
Zm00001d023469	58.6				
Zm00001d021745	58.6				
MSTRG.19947	58.5				
Zm00001d032156	58.3				
Zm00001d017915	58.1				
Zm00001d044874	58.1				
Zm00001d001999	58.1				
Zm00001d002503	58.1				
Zm00001d044573	58				
Zm00001d048193	58				
Zm00001d023226	58				
Zm00001d049163	57.9				
Zm00001d033128	57.9				
Zm00001d005399	57.9				
MSTRG.11452	57.8				
MSTRG.336	57.7				
Zm00001d030114	57.6				
Zm00001d012992	57.5				
MSTRG.10994	57.5				
Zm00001d048609	57.5				
Zm00001d032231	57.4				
Zm00001d002597	57.4				
Zm00001d032229	57.2				
Zm00001d012155	57.1				
Zm00001d047186	57.1				
Zm00001d023292	57				
MSTRG.3212	57				
MSTRG.19705	57				
Zm00001d052848	56.9				
Zm00001d020983	56.9				
Zm00001d005460	56.9				
MSTRG.7641	56.9				
Zm00001d016276	56.8				
Zm00001d018896	56.7				
Zm00001d018183	56.6				
Zm00001d044979	56.6				
Zm00001d012391	56.6				
Zm00001d003857	56.5				
Zm00001d025780	56.5				
Zm00001d033457	56.4				
Zm00001d022545	56.4				
Zm00001d032942	56.3				
Zm00001d044570	56				
Zm00001d014969	56				
Zm00001d010599	56				
Zm00001d032311	55.9				
Zm00001d017092	55.9				
Zm00001d029165	55.8				
Zm00001d052948	55.8				
MSTRG.7144	55.8				
Zm00001d047542	55.8				
Zm00001d004841	55.6				
MSTRG.15578	55.6				
Zm00001d034998	55.5				
Zm00001d021511	55.5				
Zm00001d019108	55.4				
Zm00001d021592	55.4				
Zm00001d037307	55.3				
Zm00001d039401	55.3				
MSTRG.16672	55.3				
Zm00001d038646	55.2				
Zm00001d024523	55.1				
Zm00001d047187	55.1				
Zm00001d030012	55.1				
Zm00001d023472	55.1				
Zm00001d013056	55				
Zm00001d053168	55				
MSTRG.9577	55				
Zm00001d006351	54.9				
MSTRG.6337	54.9				
Zm00001d032686	54.9				
Zm00001d025557	54.8				
Zm00001d010528	54.7				
MSTRG.6879	54.7				
Zm00001d025551	54.6				
Zm00001d006008	54.6				
MSTRG.16375	54.6				
MSTRG.9218	54.5				
MSTRG.6959	54.5				
Zm00001d003680	54.4				
MSTRG.10631	54.4				
Zm00001d051600	54.3				
Zm00001d011139	54.3				
Zm00001d034440	54.3				
MSTRG.10139	54.3				
Zm00001d026056	54.3				
Zm00001d047481	54.2				
Zm00001d043768	54.2				
Zm00001d051642	54.2				
Zm00001d009811	54.2				
Zm00001d035948	54.1				
Zm00001d042966	54.1				
MSTRG.4738	54.1				
Zm00001d015168	54.1				
Zm00001d018979	54				
Zm00001d042536	54				
Zm00001d054043	54				
Zm00001d037926	53.9				
MSTRG.11579	53.9				
Zm00001d049830	53.8				
Zm00001d019114	53.8				
Zm00001d018957	53.7				
Zm00001d038661	53.7				
Zm00001d014882	53.6				
MSTRG.9031	53.6				
Zm00001d008074	53.6				
Zm00001d033727	53.4				
Zm00001d031050	53.4				
Zm00001d029377	53.4				
Zm00001d021999	53.3				
MSTRG.4470	53.3				
Zm00001d047799	53.2				
Zm00001d038012	53.2				
Zm00001d010646	53.1				
Zm00001d053863	53.1				
Zm00001d033108	53.1				
Zm00001d034429	53.1				
Zm00001d053211	53.1				
Zm00001d029046	53				
Zm00001d050157	53				
Zm00001d033818	53				
Zm00001d015275	52.9				
Zm00001d001879	52.9				
Zm00001d008357	52.8				
Zm00001d017958	52.8				
Zm00001d028709	52.8				
Zm00001d011299	52.8				
MSTRG.15117	52.8				
Zm00001d021785	52.7				
Zm00001d009271	52.3				
MSTRG.10115	52.3				
Zm00001d020726	52.3				
Zm00001d013428	52.3				
Zm00001d014947	52.3				
MSTRG.9311	52.2				
Zm00001d052060	52.2				
Zm00001d028707	52.1				
Zm00001d034270	51.9				
Zm00001d011315	51.9				
Zm00001d039200	51.8				
Zm00001d049666	51.8				
Zm00001d017482	51.8				
MSTRG.3873	51.7				
Zm00001d023734	51.6				
MSTRG.1780	51.6				
Zm00001d022239	51.6				
Zm00001d041969	51.6				
Zm00001d035015	51.6				
Zm00001d025623	51.5				
MSTRG.4689	51.5				
Zm00001d023536	51.5				
Zm00001d011741	51.4				
Zm00001d049500	51.4				
MSTRG.18274	51.4				
MSTRG.1061	51.4				
MSTRG.19551	51.4				
Zm00001d037576	51.3				
Zm00001d017887	51.2				
Zm00001d011786	51.1				
Zm00001d053016	51.1				
Zm00001d045448	51				
Zm00001d006100	51				
Zm00001d017145	51				
Zm00001d003248	51				
Zm00001d010824	50.9				
Zm00001d038358	50.7				
MSTRG.13813	50.7				
Zm00001d022395	50.7				
MSTRG.16197	50.7				
Zm00001d036048	50.6				
Zm00001d034721	50.6				
Zm00001d040446	50.5				
Zm00001d032669	50.5				
Zm00001d013530	50.5				
Zm00001d009488	50.4				
Zm00001d050616	50.4				
Zm00001d051650	50.4				
Zm00001d045698	50.4				
Zm00001d017476	50.3				
Zm00001d018613	50.3				
Zm00001d035312	50.3				
MSTRG.2743	50.3				
Zm00001d023767	50.2				
Zm00001d028622	50.2				
MSTRG.10116	50.2				
