Gene	Gene score (% variance explained by pseudotime)				
Zm00001d016452	38.1				
Zm00001d014058	38				
Zm00001d021061	38				
Zm00001d005178	38				
Zm00001d008307	38				
Zm00001d024698	37.9				
MSTRG.17375	37.9				
Zm00001d010915	37.9				
Zm00001d033477	37.9				
Zm00001d022124	37.9				
Zm00001d032019	37.9				
Zm00001d013217	37.9				
MSTRG.17530	37.9				
Zm00001d035597	37.9				
Zm00001d019194	37.9				
Zm00001d018616	37.8				
Zm00001d019824	37.8				
Zm00001d003345	37.8				
Zm00001d016935	37.8				
Zm00001d041495	37.8				
Zm00001d053632	37.8				
MSTRG.7654	37.8				
Zm00001d033160	37.8				
Zm00001d008271	37.8				
Zm00001d047854	37.8				
Zm00001d026578	37.7				
Zm00001d039387	37.7				
MSTRG.13362	37.7				
Zm00001d034059	37.7				
MSTRG.14090	37.7				
Zm00001d043580	37.7				
MSTRG.12599	37.6				
Zm00001d040411	37.6				
Zm00001d011734	37.6				
Zm00001d015242	37.6				
Zm00001d022010	37.6				
Zm00001d005674	37.5				
Zm00001d048616	37.5				
Zm00001d050193	37.5				
Zm00001d038594	37.5				
Zm00001d035492	37.4				
MSTRG.6877	37.4				
MSTRG.38	37.4				
Zm00001d043083	37.4				
MSTRG.12057	37.3				
Zm00001d005705	37.3				
Zm00001d029997	37.3				
Zm00001d035087	37.3				
Zm00001d037727	37.3				
Zm00001d026064	37.3				
MSTRG.19436	37.3				
MSTRG.9360	37.3				
Zm00001d015134	37.2				
Zm00001d044970	37.2				
Zm00001d007111	37.1				
Zm00001d031316	37.1				
Zm00001d052820	37.1				
Zm00001d017379	37.1				
Zm00001d053223	37.1				
Zm00001d027342	37				
Zm00001d006872	37				
MSTRG.9744	37				
Zm00001d037429	37				
Zm00001d040496	37				
Zm00001d003288	36.9				
Zm00001d008795	36.9				
Zm00001d040360	36.9				
Zm00001d020175	36.9				
Zm00001d043157	36.9				
MSTRG.7408	36.9				
Zm00001d006402	36.9				
MSTRG.11814	36.9				
MSTRG.13778	36.9				
Zm00001d025767	36.8				
MSTRG.5470	36.8				
Zm00001d031326	36.8				
MSTRG.2284	36.8				
Zm00001d039867	36.8				
MSTRG.2131	36.8				
Zm00001d036018	36.8				
Zm00001d037417	36.8				
Zm00001d016063	36.8				
Zm00001d000721	36.8				
Zm00001d008744	36.7				
Zm00001d031939	36.7				
Zm00001d005343	36.7				
Zm00001d025305	36.7				
Zm00001d003393	36.6				
Zm00001d032615	36.6				
Zm00001d048102	36.6				
Zm00001d006699	36.6				
Zm00001d029851	36.6				
Zm00001d017103	36.6				
MSTRG.20493	36.5				
Zm00001d005866	36.5				
Zm00001d011278	36.5				
Zm00001d036987	36.5				
Zm00001d023583	36.4				
Zm00001d014292	36.4				
Zm00001d030859	36.4				
Zm00001d012195	36.4				
Zm00001d044287	36.4				
Zm00001d037326	36.4				
Zm00001d018409	36.3				
Zm00001d052074	36.3				
Zm00001d032224	36.3				
MSTRG.11140	36.3				
Zm00001d011684	36.3				
MSTRG.8805	36.3				
Zm00001d026438	36.3				
Zm00001d022499	36.2				
Zm00001d034772	36.2				
Zm00001d043684	36.2				
Zm00001d040123	36.1				
Zm00001d003812	36.1				
Zm00001d009117	36.1				
Zm00001d036226	36.1				
MSTRG.8809	36.1				
Zm00001d047923	36.1				
Zm00001d029023	36.1				
Zm00001d051001	36.1				
Zm00001d046749	36				
MSTRG.3642	36				
Zm00001d049155	36				
Zm00001d014463	36				
Zm00001d012544	36				
Zm00001d031178	35.9				
Zm00001d011517	35.9				
Zm00001d049018	35.9				
MSTRG.1166	35.9				
Zm00001d036547	35.9				
Zm00001d039521	35.9				
Zm00001d002153	35.9				
Zm00001d044225	35.8				
Zm00001d045725	35.8				
Zm00001d002408	35.8				
Zm00001d052049	35.8				
Zm00001d030108	35.8				
Zm00001d039266	35.7				
Zm00001d052248	35.7				
MSTRG.12112	35.7				
Zm00001d038920	35.7				
Zm00001d042087	35.7				
Zm00001d018128	35.6				
Zm00001d038217	35.6				
Zm00001d014977	35.6				
Zm00001d012173	35.6				
Zm00001d012577	35.6				
Zm00001d037485	35.6				
Zm00001d039001	35.6				
MSTRG.14019	35.6				
Zm00001d043686	35.6				
Zm00001d044667	35.5				
Zm00001d018916	35.5				
Zm00001d011947	35.5				
Zm00001d016691	35.5				
Zm00001d052040	35.5				
Zm00001d034124	35.5				
Zm00001d050874	35.4				
Zm00001d048902	35.4				
MSTRG.3664	35.4				
MSTRG.12541	35.4				
Zm00001d027231	35.3				
Zm00001d027527	35.3				
Zm00001d024828	35.3				
Zm00001d038172	35.3				
Zm00001d034795	35.3				
MSTRG.19836	35.3				
Zm00001d031599	35.3				
Zm00001d021979	35.3				
Zm00001d014609	35.3				
Zm00001d038209	35.2				
Zm00001d053636	35.2				
Zm00001d038896	35.2				
Zm00001d039105	35.2				
Zm00001d021301	35.1				
Zm00001d016491	35.1				
Zm00001d044307	35.1				
Zm00001d034689	35.1				
Zm00001d041955	35.1				
MSTRG.14156	35.1				
Zm00001d018389	35.1				
Zm00001d020544	35				
MSTRG.5899	35				
Zm00001d023499	35				
Zm00001d038765	35				
Zm00001d018812	35				
Zm00001d043613	35				
Zm00001d047993	35				
Zm00001d021187	35				
Zm00001d004340	35				
Zm00001d015383	35				
Zm00001d043544	35				
Zm00001d048026	35				
Zm00001d052766	34.9				
MSTRG.18312	34.9				
Zm00001d037111	34.9				
Zm00001d001913	34.9				
MSTRG.7064	34.9				
Zm00001d022314	34.9				
Zm00001d016588	34.9				
Zm00001d018485	34.9				
Zm00001d052216	34.8				
Zm00001d015410	34.8				
Zm00001d022016	34.8				
Zm00001d007296	34.8				
Zm00001d022005	34.8				
Zm00001d016159	34.8				
Zm00001d029088	34.8				
Zm00001d053685	34.8				
Zm00001d045076	34.8				
Zm00001d047392	34.8				
Zm00001d052753	34.8				
Zm00001d024755	34.7				
Zm00001d045104	34.7				
Zm00001d034771	34.7				
Zm00001d046097	34.7				
Zm00001d002810	34.7				
Zm00001d033668	34.7				
Zm00001d030939	34.7				
MSTRG.19556	34.7				
Zm00001d003084	34.6				
Zm00001d034738	34.6				
Zm00001d026119	34.6				
MSTRG.1148	34.5				
Zm00001d043093	34.5				
Zm00001d023892	34.5				
Zm00001d036568	34.5				
Zm00001d006650	34.5				
MSTRG.13602	34.5				
Zm00001d005662	34.5				
Zm00001d009572	34.5				
Zm00001d031958	34.5				
MSTRG.6850	34.5				
Zm00001d036904	34.4				
Zm00001d043070	34.4				
Zm00001d013771	34.4				
Zm00001d053452	34.4				
MSTRG.7578	34.4				
MSTRG.162	34.4				
MSTRG.19988	34.4				
Zm00001d045310	34.4				
Zm00001d044629	34.4				
Zm00001d025745	34.3				
Zm00001d044673	34.3				
MSTRG.4675	34.3				
Zm00001d053232	34.3				
Zm00001d052458	34.3				
Zm00001d036403	34.3				
MSTRG.10293	34.2				
Zm00001d044433	34.2				
Zm00001d037992	34.2				
Zm00001d035551	34.2				
Zm00001d024327	34.2				
Zm00001d020898	34.2				
MSTRG.18701	34.2				
Zm00001d039252	34.2				
Zm00001d006153	34.2				
Zm00001d045025	34.2				
Zm00001d006511	34.1				
Zm00001d038146	34.1				
Zm00001d052090	34.1				
Zm00001d001797	34.1				
Zm00001d028534	34.1				
MSTRG.12742	34.1				
Zm00001d008874	34				
Zm00001d033283	34				
Zm00001d041186	34				
Zm00001d031072	34				
MSTRG.16541	34				
Zm00001d049637	33.9				
Zm00001d011588	33.9				
MSTRG.8674	33.9				
Zm00001d023635	33.9				
Zm00001d046344	33.8				
MSTRG.16255	33.8				
Zm00001d051644	33.8				
Zm00001d045557	33.8				
Zm00001d012567	33.8				
Zm00001d034404	33.8				
Zm00001d042338	33.8				
Zm00001d016061	33.8				
Zm00001d046286	33.8				
MSTRG.12783	33.8				
Zm00001d011379	33.8				
Zm00001d012198	33.8				
Zm00001d037422	33.8				
Zm00001d041954	33.7				
Zm00001d029785	33.7				
MSTRG.6168	33.7				
Zm00001d033317	33.6				
Zm00001d016549	33.6				
Zm00001d045174	33.6				
Zm00001d034181	33.6				
MSTRG.20355	33.6				
Zm00001d051552	33.6				
Zm00001d047203	33.6				
Zm00001d019186	33.6				
Zm00001d027811	33.5				
Zm00001d041727	33.5				
Zm00001d054107	33.5				
MSTRG.2564	33.5				
Zm00001d039717	33.5				
Zm00001d045740	33.5				
Zm00001d028731	33.5				
Zm00001d014786	33.5				
Zm00001d043773	33.5				
Zm00001d012839	33.4				
Zm00001d045706	33.4				
Zm00001d049389	33.4				
Zm00001d032056	33.4				
Zm00001d035044	33.4				
Zm00001d015195	33.3				
MSTRG.13956	33.3				
Zm00001d042943	33.3				
MSTRG.19373	33.3				
MSTRG.1121	33.3				
Zm00001d043401	33.3				
Zm00001d016474	33.2				
Zm00001d045696	33.2				
Zm00001d053983	33.2				
Zm00001d015328	33.2				
MSTRG.5404	33.2				
Zm00001d042372	33.2				
Zm00001d050468	33.2				
Zm00001d038649	33.2				
Zm00001d039596	33.2				
Zm00001d045763	33.2				
MSTRG.15700	33.2				
Zm00001d014321	33.1				
Zm00001d034678	33.1				
MSTRG.19375	33.1				
Zm00001d006948	33.1				
Zm00001d028713	33.1				
MSTRG.9026	33.1				
MSTRG.5689	33.1				
Zm00001d021240	33				
Zm00001d040768	33				
Zm00001d022190	33				
Zm00001d036201	33				
MSTRG.12444	33				
Zm00001d038600	33				
Zm00001d047537	33				
Zm00001d031026	33				
Zm00001d009779	32.9				
Zm00001d020810	32.9				
Zm00001d041510	32.9				
Zm00001d049557	32.9				
MSTRG.7917	32.9				
MSTRG.8353	32.9				
Zm00001d053158	32.8				
Zm00001d052087	32.8				
MSTRG.17280	32.8				
Zm00001d025203	32.8				
Zm00001d009928	32.8				
Zm00001d017071	32.8				
Zm00001d027344	32.8				
Zm00001d021823	32.8				
Zm00001d034319	32.8				
Zm00001d036328	32.7				
Zm00001d047085	32.7				
MSTRG.13683	32.7				
Zm00001d043991	32.7				
Zm00001d015429	32.7				
Zm00001d052845	32.6				
Zm00001d003683	32.6				
Zm00001d005700	32.6				
Zm00001d039710	32.6				
MSTRG.12977	32.6				
Zm00001d034368	32.5				
Zm00001d038027	32.5				
Zm00001d044641	32.5				
Zm00001d018694	32.5				
Zm00001d018959	32.5				
Zm00001d024393	32.5				
Zm00001d021676	32.5				
Zm00001d039653	32.5				
MSTRG.9850	32.5				
MSTRG.5425	32.5				
Zm00001d038228	32.5				
Zm00001d033497	32.5				
Zm00001d004140	32.4				
Zm00001d023882	32.4				
MSTRG.13841	32.4				
Zm00001d039780	32.4				
MSTRG.12707	32.4				
Zm00001d015473	32.4				
Zm00001d043147	32.4				
Zm00001d007633	32.4				
Zm00001d034609	32.3				
Zm00001d022463	32.3				
MSTRG.15888	32.3				
Zm00001d037687	32.3				
Zm00001d028198	32.3				
Zm00001d047468	32.3				
Zm00001d036036	32.3				
Zm00001d025542	32.3				
Zm00001d025712	32.2				
Zm00001d044243	32.2				
MSTRG.18534	32.2				
Zm00001d045152	32.2				
Zm00001d010195	32.2				
MSTRG.14467	32.2				
Zm00001d051069	32.2				
MSTRG.3916	32.1				
Zm00001d022513	32.1				
MSTRG.3156	32.1				
Zm00001d045000	32.1				
Zm00001d013758	32.1				
Zm00001d047951	32.1				
Zm00001d040278	32.1				
MSTRG.13523	32.1				
Zm00001d049888	32.1				
Zm00001d052921	32				
MSTRG.1377	32				
Zm00001d011487	32				
Zm00001d029416	32				
Zm00001d031222	32				
Zm00001d015274	32				
Zm00001d035156	32				
Zm00001d010056	32				
Zm00001d002658	32				
Zm00001d032272	32				
Zm00001d036337	31.9				
Zm00001d028907	31.9				
Zm00001d053239	31.9				
Zm00001d051929	31.9				
Zm00001d019624	31.9				
Zm00001d017126	31.9				
Zm00001d051856	31.9				
Zm00001d008902	31.9				
Zm00001d009004	31.8				
Zm00001d016479	31.8				
Zm00001d049746	31.8				
Zm00001d033931	31.8				
Zm00001d053197	31.8				
Zm00001d011386	31.8				
MSTRG.9828	31.8				
Zm00001d017551	31.8				
Zm00001d027680	31.8				
Zm00001d019905	31.8				
Zm00001d031891	31.7				
Zm00001d029055	31.7				
Zm00001d018096	31.7				
Zm00001d029328	31.7				
Zm00001d049668	31.7				
Zm00001d045121	31.7				
Zm00001d049933	31.7				
Zm00001d006125	31.7				
Zm00001d042050	31.6				
Zm00001d041112	31.6				
Zm00001d024245	31.6				
Zm00001d019481	31.6				
Zm00001d053857	31.6				
Zm00001d047601	31.6				
Zm00001d049552	31.6				
Zm00001d053763	31.6				
Zm00001d011572	31.6				
Zm00001d006651	31.5				
Zm00001d052075	31.5				
Zm00001d037616	31.5				
Zm00001d032102	31.5				
Zm00001d003250	31.5				
Zm00001d034497	31.5				
Zm00001d044188	31.5				
Zm00001d047059	31.5				
MSTRG.20340	31.5				
Zm00001d014794	31.5				
Zm00001d021426	31.4				
Zm00001d042842	31.4				
Zm00001d042308	31.4				
Zm00001d021668	31.4				
Zm00001d009657	31.4				
Zm00001d026284	31.4				
Zm00001d053873	31.4				
Zm00001d051869	31.4				
Zm00001d030506	31.4				
Zm00001d010514	31.4				
Zm00001d043414	31.3				
Zm00001d034062	31.3				
Zm00001d047435	31.3				
Zm00001d008642	31.3				
Zm00001d028204	31.3				
Zm00001d009837	31.3				
Zm00001d037108	31.3				
Zm00001d021147	31.3				
Zm00001d022238	31.3				
Zm00001d053861	31.3				
Zm00001d023337	31.3				
Zm00001d043301	31.3				
Zm00001d048969	31.3				
Zm00001d033979	31.2				
Zm00001d007698	31.2				
Zm00001d022614	31.2				
Zm00001d053128	31.2				
Zm00001d038807	31.2				
Zm00001d007865	31.2				
Zm00001d034601	31.2				
Zm00001d041594	31.2				
MSTRG.10076	31.2				
Zm00001d033648	31.2				
Zm00001d045599	31.1				
Zm00001d045516	31.1				
Zm00001d023309	31.1				
Zm00001d007995	31.1				
Zm00001d012653	31.1				
Zm00001d003428	31.1				
Zm00001d021891	31.1				
Zm00001d011096	31				
Zm00001d033456	31				
Zm00001d021020	31				
Zm00001d034036	31				
Zm00001d004676	31				
Zm00001d002450	31				
Zm00001d035722	31				
Zm00001d009714	31				
Zm00001d034871	31				
Zm00001d029151	31				
Zm00001d018359	31				
Zm00001d020325	31				
Zm00001d044105	31				
Zm00001d048937	30.9				
Zm00001d023223	30.9				
Zm00001d022251	30.9				
Zm00001d049884	30.8				
Zm00001d039664	30.8				
Zm00001d015778	30.8				
Zm00001d034480	30.8				
Zm00001d052494	30.8				
Zm00001d007567	30.8				
Zm00001d044908	30.8				
Zm00001d008690	30.8				
Zm00001d013627	30.8				
Zm00001d031942	30.8				
Zm00001d031691	30.7				
Zm00001d053642	30.7				
Zm00001d044333	30.7				
Zm00001d012857	30.7				
MSTRG.14738	30.7				
MSTRG.18215	30.7				
Zm00001d042996	30.7				
MSTRG.6825	30.7				
Zm00001d044987	30.7				
Zm00001d006084	30.6				
Zm00001d050244	30.6				
Zm00001d032933	30.6				
Zm00001d034023	30.6				
Zm00001d038944	30.6				
Zm00001d012205	30.6				
Zm00001d033575	30.6				
Zm00001d028055	30.6				
MSTRG.1758	30.6				
Zm00001d022041	30.5				
Zm00001d016081	30.5				
Zm00001d041124	30.5				
MSTRG.296	30.5				
Zm00001d042589	30.5				
Zm00001d018568	30.5				
Zm00001d011817	30.5				
Zm00001d039312	30.5				
Zm00001d016722	30.5				
Zm00001d011396	30.5				
Zm00001d027726	30.5				
MSTRG.16286	30.5				
MSTRG.9819	30.5				
Zm00001d050359	30.5				
Zm00001d022188	30.5				
Zm00001d018420	30.4				
Zm00001d022546	30.4				
Zm00001d041243	30.4				
Zm00001d013086	30.4				
MSTRG.9425	30.4				
MSTRG.7461	30.4				
Zm00001d008907	30.3				
Zm00001d002324	30.3				
Zm00001d032313	30.3				
Zm00001d032873	30.3				
MSTRG.19520	30.3				
MSTRG.13752	30.3				
Zm00001d021835	30.3				
Zm00001d033473	30.3				
Zm00001d053524	30.2				
Zm00001d004541	30.2				
Zm00001d025981	30.2				
MSTRG.19847	30.2				
Zm00001d047407	30.2				
Zm00001d038535	30.2				
MSTRG.6376	30.2				
Zm00001d027362	30.2				
Zm00001d023504	30.2				
Zm00001d021526	30.2				
Zm00001d012265	30.2				
Zm00001d035569	30.2				
Zm00001d029191	30.2				
Zm00001d052123	30.2				
Zm00001d034529	30.2				
Zm00001d012263	30.2				
Zm00001d035526	30.1				
Zm00001d046936	30.1				
Zm00001d020980	30.1				
Zm00001d009339	30.1				
Zm00001d018204	30.1				
Zm00001d010583	30.1				
Zm00001d020694	30.1				
MSTRG.18385	30.1				
Zm00001d053931	30.1				
Zm00001d016036	30.1				
Zm00001d007889	30				
Zm00001d041445	30				
Zm00001d023537	30				
Zm00001d012267	30				
MSTRG.14965	30				
Zm00001d030701	30				
Zm00001d024778	30				
Zm00001d031688	30				
Zm00001d031589	30				
MSTRG.1430	30				
Zm00001d045294	30				
Zm00001d026339	30				
MSTRG.3823	30				
MSTRG.8708	30				
Zm00001d037237	30				
Zm00001d029142	29.9				
Zm00001d037596	29.9				
Zm00001d042341	29.9				
Zm00001d034444	29.9				
Zm00001d045819	29.9				
Zm00001d008345	29.9				
Zm00001d007417	29.9				
Zm00001d044831	29.9				
Zm00001d003071	29.9				
Zm00001d006834	29.9				
Zm00001d045893	29.9				
Zm00001d034932	29.9				
Zm00001d041249	29.9				
MSTRG.17625	29.9				
MSTRG.17327	29.9				
Zm00001d047340	29.9				
Zm00001d014187	29.9				
Zm00001d042804	29.9				
Zm00001d018297	29.8				
Zm00001d006725	29.8				
Zm00001d020450	29.8				
Zm00001d039039	29.8				
Zm00001d016660	29.8				
Zm00001d009431	29.8				
Zm00001d043517	29.8				
Zm00001d026127	29.8				
Zm00001d017700	29.8				
Zm00001d030968	29.7				
MSTRG.9068	29.7				
Zm00001d049940	29.7				
Zm00001d032153	29.7				
Zm00001d029095	29.7				
Zm00001d019266	29.7				
Zm00001d021465	29.7				
MSTRG.6987	29.6				
Zm00001d031602	29.6				
Zm00001d014585	29.6				
Zm00001d017213	29.6				
Zm00001d032649	29.6				
MSTRG.6719	29.6				
Zm00001d017651	29.6				
Zm00001d032250	29.6				
Zm00001d014993	29.6				
MSTRG.9287	29.6				
MSTRG.15211	29.5				
Zm00001d019337	29.5				
Zm00001d053259	29.5				
Zm00001d007465	29.5				
Zm00001d033913	29.5				
Zm00001d018873	29.5				
Zm00001d025681	29.5				
Zm00001d035964	29.5				
Zm00001d006640	29.5				
Zm00001d018001	29.5				
Zm00001d033591	29.5				
Zm00001d045491	29.5				
Zm00001d024715	29.5				
Zm00001d047255	29.4				
Zm00001d027616	29.4				
Zm00001d005546	29.4				
Zm00001d045590	29.4				
MSTRG.6502	29.4				
Zm00001d001846	29.4				
Zm00001d051081	29.4				
Zm00001d042088	29.4				
Zm00001d020310	29.4				
Zm00001d036905	29.4				
Zm00001d052247	29.4				
Zm00001d009430	29.4				
Zm00001d016606	29.3				
Zm00001d024373	29.3				
Zm00001d037770	29.3				
Zm00001d038768	29.3				
Zm00001d007824	29.3				
Zm00001d047461	29.3				
MSTRG.7225	29.3				
Zm00001d037079	29.3				
Zm00001d023506	29.3				
Zm00001d045607	29.3				
Zm00001d032475	29.3				
MSTRG.19044	29.3				
Zm00001d002441	29.3				
Zm00001d036296	29.2				
Zm00001d017239	29.2				
Zm00001d042306	29.2				
Zm00001d052303	29.2				
Zm00001d050920	29.2				
MSTRG.16820	29.2				
MSTRG.15224	29.2				
Zm00001d005638	29.2				
Zm00001d028412	29.2				
Zm00001d034498	29.2				
Zm00001d014347	29.2				
MSTRG.19890	29.2				
Zm00001d012446	29.2				
Zm00001d012517	29.1				
Zm00001d037603	29.1				
Zm00001d027871	29.1				
Zm00001d011387	29.1				
Zm00001d007762	29.1				
Zm00001d027300	29.1				
Zm00001d035540	29.1				
Zm00001d041854	29.1				
Zm00001d021136	29.1				
Zm00001d041719	29.1				
Zm00001d026548	29.1				
MSTRG.2885	29.1				
Zm00001d022324	29.1				
MSTRG.13639	29.1				
Zm00001d049362	29.1				
Zm00001d015348	29				
Zm00001d038564	29				
Zm00001d026405	29				
MSTRG.4898	29				
Zm00001d041682	29				
Zm00001d041993	29				
MSTRG.16077	29				
Zm00001d040274	29				
MSTRG.4634	29				
Zm00001d045064	29				
MSTRG.12155	29				
MSTRG.10107	29				
Zm00001d020297	29				
Zm00001d039090	29				
Zm00001d017445	29				
Zm00001d031239	29				
Zm00001d053928	29				
Zm00001d014770	29				
Zm00001d033405	28.9				
Zm00001d025342	28.9				
Zm00001d024588	28.9				
Zm00001d049095	28.9				
Zm00001d031429	28.9				
Zm00001d050026	28.9				
Zm00001d045323	28.9				
Zm00001d051759	28.9				
Zm00001d044497	28.9				
Zm00001d045555	28.9				
MSTRG.5892	28.9				
Zm00001d007172	28.8				
Zm00001d035199	28.8				
Zm00001d046581	28.8				
Zm00001d051905	28.8				
Zm00001d015036	28.8				
Zm00001d033345	28.8				
Zm00001d029418	28.8				
Zm00001d042107	28.8				
Zm00001d043407	28.8				
Zm00001d033401	28.8				
Zm00001d029018	28.8				
MSTRG.7227	28.8				
Zm00001d010603	28.8				
Zm00001d032894	28.7				
Zm00001d020329	28.7				
Zm00001d006220	28.7				
Zm00001d018804	28.7				
Zm00001d047404	28.7				
Zm00001d021299	28.7				
Zm00001d038448	28.7				
Zm00001d046569	28.7				
Zm00001d033402	28.7				
MSTRG.12059	28.7				
Zm00001d011486	28.6				
Zm00001d020051	28.6				
Zm00001d020593	28.6				
Zm00001d029693	28.6				
Zm00001d033621	28.6				
Zm00001d049510	28.6				
MSTRG.9449	28.6				
Zm00001d049662	28.6				
MSTRG.20202	28.6				
Zm00001d025687	28.6				
MSTRG.2231	28.6				
Zm00001d008212	28.6				
Zm00001d022551	28.5				
Zm00001d008679	28.5				
Zm00001d041603	28.5				
Zm00001d009753	28.5				
Zm00001d012549	28.5				
Zm00001d039989	28.5				
Zm00001d002051	28.5				
Zm00001d028759	28.5				
Zm00001d037748	28.5				
Zm00001d018041	28.5				
Zm00001d020188	28.4				
Zm00001d052928	28.4				
Zm00001d005089	28.4				
Zm00001d022077	28.4				
Zm00001d020102	28.4				
Zm00001d052010	28.4				
MSTRG.2360	28.4				
Zm00001d031854	28.4				
Zm00001d002089	28.4				
Zm00001d034768	28.3				
Zm00001d022352	28.3				
Zm00001d026014	28.3				
Zm00001d036678	28.3				
Zm00001d036020	28.3				
Zm00001d038853	28.3				
Zm00001d010290	28.3				
MSTRG.8363	28.3				
Zm00001d023270	28.3				
Zm00001d024333	28.3				
Zm00001d005762	28.3				
Zm00001d032377	28.3				
Zm00001d003750	28.3				
Zm00001d003147	28.2				
Zm00001d018516	28.2				
MSTRG.10655	28.2				
Zm00001d009990	28.2				
Zm00001d023640	28.1				
MSTRG.1259	28.1				
Zm00001d036213	28.1				
Zm00001d022462	28.1				
Zm00001d041438	28.1				
MSTRG.3734	28.1				
Zm00001d022475	28.1				
Zm00001d022922	28.1				
Zm00001d014166	28.1				
Zm00001d028097	28				
Zm00001d007279	28				
Zm00001d034710	28				
Zm00001d022581	28				
MSTRG.8226	28				
Zm00001d032633	28				
Zm00001d020552	28				
Zm00001d048100	28				
Zm00001d012515	28				
Zm00001d017547	28				
Zm00001d010336	28				
Zm00001d023681	28				
Zm00001d044533	28				
Zm00001d027962	28				
Zm00001d017686	28				
MSTRG.17767	28				
Zm00001d021297	27.9				
Zm00001d033753	27.9				
Zm00001d025222	27.9				
Zm00001d031979	27.9				
Zm00001d022111	27.9				
Zm00001d046317	27.9				
MSTRG.16340	27.9				
Zm00001d005485	27.9				
Zm00001d037211	27.9				
Zm00001d024425	27.9				
Zm00001d021881	27.9				
Zm00001d045261	27.9				
Zm00001d036245	27.9				
Zm00001d035629	27.9				
Zm00001d006098	27.9				
Zm00001d038623	27.9				
MSTRG.17437	27.8				
Zm00001d020543	27.8				
Zm00001d023636	27.8				
Zm00001d031525	27.8				
Zm00001d012337	27.8				
Zm00001d021221	27.8				
Zm00001d023580	27.8				
Zm00001d017584	27.8				
Zm00001d008591	27.8				
MSTRG.9844	27.8				
Zm00001d016034	27.8				
Zm00001d011648	27.7				
Zm00001d006880	27.7				
Zm00001d034468	27.7				
Zm00001d009609	27.7				
Zm00001d006388	27.7				
Zm00001d003309	27.7				
MSTRG.8448	27.7				
Zm00001d036307	27.7				
MSTRG.19507	27.7				
Zm00001d029965	27.7				
Zm00001d046942	27.7				
Zm00001d049761	27.6				
Zm00001d030146	27.6				
Zm00001d012017	27.6				
MSTRG.8445	27.6				
MSTRG.13191	27.6				
Zm00001d032383	27.6				
MSTRG.15916	27.6				
Zm00001d003259	27.5				
Zm00001d031481	27.5				
Zm00001d002585	27.5				
Zm00001d008407	27.5				
Zm00001d021718	27.5				
Zm00001d052007	27.5				
Zm00001d005159	27.5				
Zm00001d032646	27.5				
Zm00001d047067	27.5				
Zm00001d029560	27.5				
Zm00001d002382	27.5				
Zm00001d044179	27.5				
MSTRG.13906	27.4				
Zm00001d044698	27.4				
Zm00001d035838	27.4				
Zm00001d016225	27.4				
Zm00001d042712	27.4				
Zm00001d025339	27.4				
Zm00001d052061	27.4				
Zm00001d029782	27.4				
Zm00001d029066	27.4				
Zm00001d024128	27.4				
Zm00001d005118	27.3				
Zm00001d053620	27.3				
MSTRG.2183	27.3				
Zm00001d019207	27.3				
Zm00001d016704	27.3				
MSTRG.3756	27.3				
Zm00001d035543	27.3				
Zm00001d048163	27.3				
Zm00001d042747	27.3				
Zm00001d040036	27.2				
Zm00001d007113	27.2				
Zm00001d008594	27.2				
Zm00001d049956	27.2				
MSTRG.9266	27.2				
MSTRG.18470	27.2				
Zm00001d008406	27.2				
Zm00001d033333	27.2				
MSTRG.16023	27.2				
Zm00001d001513	27.2				
Zm00001d034793	27.2				
Zm00001d036417	27.2				
MSTRG.11789	27.1				
Zm00001d017047	27.1				
Zm00001d032010	27.1				
MSTRG.5349	27.1				
Zm00001d011898	27.1				
Zm00001d032127	27.1				
Zm00001d052696	27				
Zm00001d002440	27				
Zm00001d050428	27				
Zm00001d040880	27				
MSTRG.2690	27				
Zm00001d043289	27				
Zm00001d043290	27				
Zm00001d043275	27				
Zm00001d044615	26.9				
Zm00001d047667	26.9				
Zm00001d028787	26.9				
Zm00001d010030	26.9				
Zm00001d008297	26.9				
Zm00001d044465	26.9				
Zm00001d028679	26.9				
MSTRG.12103	26.9				
Zm00001d043911	26.9				
MSTRG.18763	26.9				
MSTRG.5423	26.9				
Zm00001d020697	26.9				
Zm00001d036932	26.9				
Zm00001d043700	26.9				
Zm00001d011060	26.8				
Zm00001d045387	26.8				
MSTRG.10555	26.8				
Zm00001d015656	26.8				
Zm00001d026472	26.8				
Zm00001d035925	26.8				
Zm00001d012275	26.8				
Zm00001d051420	26.8				
MSTRG.14824	26.8				
Zm00001d028232	26.8				
MSTRG.5426	26.8				
Zm00001d049381	26.8				
Zm00001d043989	26.8				
Zm00001d035198	26.7				
Zm00001d021584	26.7				
Zm00001d044207	26.7				
Zm00001d029531	26.7				
Zm00001d027708	26.7				
Zm00001d021930	26.7				
Zm00001d003784	26.7				
Zm00001d013572	26.7				
Zm00001d045528	26.7				
Zm00001d008619	26.7				
Zm00001d038271	26.7				
Zm00001d047973	26.7				
Zm00001d011308	26.7				
MSTRG.6544	26.7				
Zm00001d052723	26.6				
Zm00001d052901	26.6				
Zm00001d003896	26.6				
Zm00001d049641	26.6				
Zm00001d020623	26.6				
MSTRG.2789	26.6				
Zm00001d011667	26.6				
MSTRG.10121	26.6				
Zm00001d043274	26.6				
Zm00001d018462	26.6				
Zm00001d044844	26.6				
Zm00001d033211	26.5				
Zm00001d018653	26.5				
Zm00001d048564	26.5				
Zm00001d033843	26.5				
