Cell Number	Plant Number	Anther size (mm)	Date planted	Date harvested	Time from harvest to isolation	Cell diameter (um)	RT primer barcode (rep1)	Illumina barcode (rep1)	RT primer barcode (rep2)	Illumina barcode (rep2)	Quality control	Expression stage	Cell cycle phase																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
57	6	1.2	04/05/17	05/08/17	01:19:04	32.2	dT_37s	RPI20	dT_1s	RPI17	PASS	M1	G1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
58	6	1.2	04/05/17	05/08/17	01:19:48	35.7	dT_102X	RPI20	dT_102X	RPI17	PASS	M1	G1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
59	6	1.2	04/05/17	05/08/17	01:20:26	33	dT_101X	RPI20	dT_101X	RPI17	PASS	M1	G1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
60	6	1.2	04/05/17	05/08/17	01:20:52	37.8	dT_1s	RPI20	dT_23s	RPI17	PASS	M1	G1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
61	6	1.2	04/05/17	05/08/17	01:21:18	NA	dT_10s	RPI20	dT_9s	RPI17	PASS	M1	S																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
62	6	1.2	04/05/17	05/08/17	01:21:52	30.7	dT_23s	RPI20	dT_4s	RPI17	FAIL	N.D.	N.D.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
63	6	1.2	04/05/17	05/08/17	01:22:50	35.7	dT_4s	RPI20	dT_10s	RPI17	FAIL	N.D.	N.D.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
64	6	1.2	04/05/17	05/08/17	01:23:26	34.5	dT_26s	RPI20	dT_2s	RPI17	FAIL	N.D.	N.D.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
65	7	1.2	04/13/17	05/15/17	01:15:10	28.6	dT_2s	RPI2	dT_1s	RPI2	PASS	M1	G1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
66	7	1.2	04/13/17	05/15/17	01:15:34	26.5	dT_46s	RPI2	dT_6s	RPI2	FAIL	N.D.	N.D.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
67	7	1.2	04/13/17	05/15/17	01:15:58	31.9	dT_9s	RPI2	dT_19s	RPI2	FAIL	N.D.	N.D.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
68	7	1.2	04/13/17	05/15/17	01:16:26	28.9	dT_37s	RPI2	dT_5s	RPI2	PASS	M1	G1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
69	7	1.2	04/13/17	05/15/17	01:16:52	28	dT_31s	RPI2	dT_101X	RPI2	FAIL	N.D.	N.D.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
70	7	1.2	04/13/17	05/15/17	01:18:18	30.1	dT_10s	RPI2	dT_23s	RPI2	PASS	M1	G1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
71	7	1.2	04/13/17	05/15/17	01:22:16	30.7	dT_4s	RPI2	dT_102X	RPI2	PASS	M1	G1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
72	7	1.2	04/13/17	05/15/17	01:24:08	NA	dT_25s	RPI2	dT_26s	RPI2	PASS	M1	G1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
73	8	0.8	05/03/17	06/02/17	01:16:02	25.4	dT_19s	RPI1	dT_102X	RPI10	FAIL	N.D.	N.D.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
74	8	0.8	05/03/17	06/02/17	01:18:14	25.1	dT_25s	RPI1	dT_31s	RPI10	PASS	AR/PMC	G1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
75	8	0.8	05/03/17	06/02/17	01:19:06	23	dT_26s	RPI1	dT_26s	RPI10	FAIL	N.D.	N.D.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
76	8	0.8	05/03/17	06/02/17	01:20:10	21.8	dT_5s	RPI1	dT_9s	RPI10	FAIL	N.D.	N.D.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
77	8	0.8	05/03/17	06/02/17	01:20:54	24.8	dT_102X	RPI1	dT_37s	RPI10	FAIL	N.D.	N.D.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
78	8	0.8	05/03/17	06/02/17	01:21:28	23	dT_101X	RPI1	dT_25s	RPI10	PASS	AR	G1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
79	8	0.8	05/03/17	06/02/17	01:21:58	24.8	dT_23s	RPI1	dT_23s	RPI10	PASS	AR/PMC	G1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
80	8	0.8	05/03/17	06/02/17	01:23:14	24.2	dT_1s	RPI1	dT_6s	RPI10	PASS	AR/PMC	G1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
81	8	0.8	05/03/17	06/02/17	01:25:04	23.9	dT_25s	RPI26	dT_10s	RPI23	FAIL	N.D.	N.D.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
82	8	0.8	05/03/17	06/02/17	01:25:32	26.5	dT_37s	RPI26	dT_9s	RPI23	FAIL	N.D.	N.D.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
83	8	0.8	05/03/17	06/02/17	01:25:58	23.6	dT_6s	RPI26	dT_2s	RPI23	FAIL	N.D.	N.D.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
84	8	0.8	05/03/17	06/02/17	01:26:48	26.8	dT_46s	RPI26	dT_1s	RPI23	FAIL	N.D.	N.D.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
85	8	0.8	05/03/17	06/02/17	01:27:52	22.1	dT_101X	RPI26	dT_102X	RPI23	PASS	AR/PMC	G1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
86	8	0.8	05/03/17	06/02/17	01:28:46	24.2	dT_2s	RPI26	dT_26s	RPI23	FAIL	N.D.	N.D.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
87	8	0.8	05/03/17	06/02/17	01:32:04	NA	dT_102X	RPI26	dT_5s	RPI23	PASS	AR/PMC	S																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
88	8	0.8	05/03/17	06/02/17	01:33:02	25.4	dT_1s	RPI26	dT_23s	RPI23	FAIL	N.D.	N.D.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
89	9	1.35	05/03/17	06/03/17	01:23:16	33.6	dT_1s	RPI11	dT_37s	RPI15	FAIL	N.D.	N.D.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
90	9	1.35	05/03/17	06/03/17	01:26:04	34.5	dT_5s	RPI11	dT_19s	RPI15	FAIL	N.D.	N.D.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
91	9	1.35	05/03/17	06/03/17	01:28:18	37.2	dT_10s	RPI11	dT_102X	RPI15	FAIL	N.D.	N.D.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
92	9	1.35	05/03/17	06/03/17	01:29:00	36	dT_101X	RPI11	dT_31s	RPI15	FAIL	N.D.	N.D.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
93	9	1.35	05/03/17	06/03/17	01:30:22	31.6	dT_46s	RPI16	dT_26s	RPI14	FAIL	N.D.	N.D.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
94	10	0.32	05/10/17	06/08/17	01:25:48	22.4	dT_31s	RPI3	dT_5s	RPI4	PASS	AR	M																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
95	10	0.32	05/10/17	06/08/17	01:26:36	21.8	dT_4s	RPI3	dT_4s	RPI4	FAIL	N.D.	N.D.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
96	10	0.32	05/10/17	06/08/17	01:27:12	22.7	dT_9s	RPI3	dT_102X	RPI4	FAIL	N.D.	N.D.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
97	10	0.32	05/10/17	06/08/17	01:28:44	33.6	dT_5s	RPI3	dT_19s	RPI4	PASS	AR	S																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
98	10	0.32	05/10/17	06/08/17	01:29:34	21.8	dT_37s	RPI3	dT_9s	RPI4	PASS	AR	G2/M																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
