Cell Number	Plant Number	Anther size (mm)	Date planted	Date harvested	Time from harvest to isolation	Cell diameter (um)	RT primer barcode (rep1)	Illumina barcode (rep1)	RT primer barcode (rep2)	Illumina barcode (rep2)	Quality control	Expression stage	Cell cycle phase																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
24	3	0.55	02/01/17	03/03/17	01:08:18	20.4	dT_1s	RPI24	dT_31s	RPI28	PASS	AR	G1/S																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
25	3	0.55	02/01/17	03/03/17	01:10:22	20.6	dT_46s	RPI10	dT_9s	RPI7	FAIL	N.D.	N.D.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
26	3	0.55	02/01/17	03/03/17	01:12:20	20.6	dT_5s	RPI10	dT_2s	RPI7	PASS	AR	G1/S																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
27	3	0.55	02/01/17	03/03/17	01:13:10	24.2	dT_1s	RPI10	dT_46s	RPI7	PASS	AR	S																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
28	3	0.55	02/01/17	03/03/17	01:13:54	20.4	dT_4s	RPI10	dT_31s	RPI7	PASS	AR	G1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
29	3	0.55	02/01/17	03/03/17	01:15:36	22.7	dT_10s	RPI10	dT_4s	RPI7	PASS	AR	M																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
30	3	0.55	02/01/17	03/03/17	01:16:02	23.6	dT_19s	RPI10	dT_26s	RPI7	PASS	AR	S																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
31	3	0.55	02/01/17	03/03/17	01:17:02	21.5	dT_101X	RPI10	dT_37s	RPI7	PASS	AR	G2/M																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
32	3	0.55	02/01/17	03/03/17	01:17:32	24.6	dT_2s	RPI10	dT_19s	RPI7	PASS	AR	S																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
33	4	0.5	02/08/17	03/16/17	01:17:18	23.9	dT_6s	RPI8	dT_10s	RPI9	PASS	AR	G2/M																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
34	4	0.5	02/08/17	03/16/17	01:18:46	20.9	dT_31s	RPI8	dT_6s	RPI9	PASS	AR	S																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
35	4	0.5	02/08/17	03/16/17	01:19:24	NA	dT_25s	RPI8	dT_19s	RPI9	PASS	AR	G1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
36	4	0.5	02/08/17	03/16/17	01:20:12	20.4	dT_23s	RPI8	dT_101X	RPI9	PASS	AR	G1/S																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
37	4	0.5	02/08/17	03/16/17	01:20:52	22.6	dT_9s	RPI8	dT_37s	RPI9	PASS	AR	G1/S																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
38	4	0.5	02/08/17	03/16/17	01:22:16	22.4	dT_37s	RPI8	dT_1s	RPI9	PASS	AR	M																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
39	4	0.5	02/08/17	03/16/17	01:23:02	20.4	dT_46s	RPI8	dT_102X	RPI9	PASS	AR	G1/S																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
40	4	0.5	02/08/17	03/16/17	01:24:04	20.4	dT_4s	RPI8	dT_2s	RPI9	PASS	AR	S																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
41	4	0.5	02/08/17	03/16/17	01:25:40	19.2	dT_10s	RPI29	dT_5s	RPI26	PASS	AR	S																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
